entry_date,exit_date,days_held,initial_capital,entry_avg_price,exit_price,position_taken,total_invested,total_proceeds,pnl,pnl_pct,capital_after,ma60_alerted
2016-10-11,2017-02-06,118,80000.0,3.2364,3.48,FULL,80000.0,86021.25,6021.25,7.53,166021.25,True
2017-02-20,2017-05-25,94,166021.25,3.621,3.9543,FULL,186021.25,203144.34,17123.08,9.2,243144.34,True
2017-05-31,2017-06-26,26,243144.34,3.9013,4.3086,FULL,263144.34,290615.29,27470.95,10.44,290615.29,False
2017-06-28,2017-09-18,82,290615.29,4.298,4.6614,FULL,330615.29,358574.38,27959.09,8.46,378574.38,False
2017-09-20,2018-01-15,117,378574.38,4.57,4.96,FULL,378574.38,410881.6,32307.22,8.53,490881.6,True
2018-01-24,2018-08-29,217,490881.6,5.0207,5.4129,FULL,510881.6,550786.73,39905.13,7.81,670786.73,True
2018-09-03,2019-10-01,393,690786.73,5.2568,5.6657,FULL,690786.73,744522.36,53735.62,7.78,1004522.36,True
2019-10-03,2019-10-24,21,1004522.36,5.56,6.0,HALF,502261.18,542008.47,39747.29,7.91,1044269.64,False
2019-11-08,2019-12-16,38,1064269.64,6.2695,6.7586,FULL,1064269.64,1147295.04,83025.4,7.8,1167295.04,False
2019-12-20,2020-07-09,202,1167295.04,6.7491,7.2857,FULL,1187295.04,1281687.01,94391.97,7.95,1401687.01,True
2020-07-10,2020-07-21,11,1401687.01,7.1286,7.6857,HALF,700843.5,755618.85,54775.34,7.82,1456462.35,False
2020-07-24,2020-07-31,7,1456462.35,7.5071,8.0786,HALF,728231.18,783662.67,55431.49,7.61,1511893.84,False
2020-08-03,2020-08-17,14,1531893.84,7.8286,8.4929,HALF,765946.92,830940.59,64993.67,8.49,1596887.51,False
2020-08-19,2020-10-12,54,1596887.51,8.002,8.6286,FULL,1596887.51,1721935.2,125047.69,7.83,1761935.2,True
2020-10-15,2020-11-11,27,1761935.2,8.3986,9.1857,FULL,1761935.2,1927055.59,165120.38,9.37,1947055.59,True
2020-11-25,2020-12-08,13,1947055.59,9.8786,10.8,HALF,973527.79,1064334.07,90806.28,9.33,2057861.87,False
2020-12-10,2020-12-31,21,2057861.87,10.6714,11.5,HALF,1028930.93,1108821.15,79890.22,7.76,2137752.09,False
2021-01-15,2021-02-17,33,2157752.09,12.8482,14.35,FULL,2157752.09,2409958.15,252206.06,11.69,2429958.15,False
2021-02-24,2021-04-06,41,2429958.15,13.8282,15.1714,FULL,2429958.15,2665987.73,236029.59,9.71,2705987.73,False
2021-04-14,2021-04-26,12,2705987.73,15.2857,16.6714,HALF,1352993.87,1475648.45,122654.58,9.07,2828642.32,False
2021-05-03,2021-06-30,58,2848642.32,15.846,17.2357,FULL,2848642.32,3098471.6,249829.28,8.77,3118471.6,True
2021-07-07,2021-12-23,169,3138471.6,17.0141,18.35,FULL,3138471.6,3384899.9,246428.3,7.85,3484899.9,True
2022-01-06,2024-01-29,753,3504899.9,18.9678,20.4714,FULL,3504899.9,3782737.93,277838.03,7.93,4262737.93,True
2024-01-31,2024-02-15,15,4262737.93,20.0571,21.7714,HALF,2131368.96,2313537.25,182168.29,8.55,4464906.21,False
2024-03-01,2024-03-07,6,4484906.21,22.4429,24.2357,HALF,2242453.11,2421592.42,179139.32,7.99,4664045.53,False
2024-03-15,2024-04-09,25,4664045.53,24.3357,27.1214,HALF,2332022.77,2598969.9,266947.13,11.45,4950992.66,False
2024-04-15,2024-05-15,30,4950992.66,25.4203,27.7857,FULL,4950992.66,5411687.85,460695.19,9.31,5431687.85,False
2024-05-21,2024-06-13,23,5431687.85,27.9,30.5571,HALF,2715843.93,2974495.73,258651.8,9.52,5710339.65,False
2024-06-24,2024-07-05,11,5710339.65,32.0571,34.4643,HALF,2855169.83,3069562.04,214392.21,7.51,5944731.86,False
